,F,N,Plate-IFU,g,i,r,u,z
469,0.443812,1.3795,b'10513-3704',193.149,663.664,442.717,47.5137,771.965
470,3.46297,8.12409,b'10513-6101',383.13,1044.69,732.973,132.185,1305.96
471,0.218356,3.39717,b'10513-6102',258.438,854.009,577.771,88.2968,1137.16
472,29.1102,39.9333,b'10513-6103',299.746,646.478,433.593,118.0,517.082
473,0.866437,0.98231,b'10513-6104',212.515,773.351,505.101,72.3889,1074.19
474,6.31937,12.0908,b'10513-9101',462.523,1494.96,956.86,112.859,1904.98
475,68.6318,91.8981,b'10514-12701',613.174,1109.21,869.808,308.087,1241.42
476,91.2488,122.065,b'10514-12702',570.55,914.362,735.187,249.034,839.923
477,0.0,0.0,b'10514-12703',643.582,1171.45,946.44,277.229,1349.9
478,70.1452,95.7918,b'10514-12704',496.867,914.107,696.347,217.537,890.264
479,5.4717,17.3029,b'10514-12705',1003.23,3163.86,2091.99,290.371,4239.83
480,1.18691,6.03287,b'10514-1901',541.296,1520.07,1081.39,129.451,1932.27
481,0.0,0.0,b'10514-1902',958.831,2664.03,1945.51,205.634,3282.96
482,5.41937,8.32004,b'10514-3701',177.739,444.006,309.066,47.0454,563.256
483,0.291834,0.986664,b'10514-3702',217.011,759.884,501.599,41.7937,1041.67
484,14.3334,24.5877,b'10514-3703',258.351,556.086,416.596,81.6336,617.909
485,0.0,0.0,b'10514-3704',184.609,686.939,457.785,41.2527,933.237
486,2.01667,3.34971,b'10514-6101',207.829,706.054,469.299,42.3399,960.173
487,2.8816,6.08088,b'10514-6102',264.945,1032.12,610.269,62.7289,1139.26
488,12.8646,21.9898,b'10514-6103',283.886,736.442,509.772,82.218,874.046
489,4.56722,13.2837,b'10514-6104',676.094,1875.74,1347.42,171.539,2316.92
490,30.9726,45.2844,b'10514-9101',478.369,1115.02,815.932,147.999,1330.03
491,2.66442,9.86498,b'10516-12702',1372.08,4528.04,3015.82,256.662,6050.35
492,16.8614,24.2451,b'10516-12703',171.893,412.871,258.728,40.1739,398.334
493,21.8884,32.298,b'10516-12704',270.139,635.245,420.774,97.4465,741.448
494,21.2524,29.8161,b'10516-12705',197.457,413.858,308.566,127.312,238.893
495,60.4024,80.9549,b'10516-1901',774.936,1750.2,1247.4,262.628,2173.62
496,35.7706,48.6569,b'10516-1902',421.257,901.557,687.755,139.662,1100.0
497,8.54004,11.9805,b'10516-3701',171.906,442.177,328.353,53.0274,634.596
498,19.1609,32.1639,b'10516-3702',426.654,1083.78,785.347,140.682,1247.34
499,1.88593,9.47996,b'10516-3703',738.632,2033.24,1408.58,206.031,2683.91
500,3.96291,7.29099,b'10516-3704',149.392,453.795,314.973,29.6791,594.767
501,2.18203,11.442,b'10516-6101',856.878,2508.56,1725.07,238.597,2948.97
502,38.7957,53.7559,b'10516-6102',325.552,602.734,471.651,134.913,461.664
503,0.505777,2.49224,b'10516-6103',193.949,662.491,444.244,33.1717,866.767
504,60.2661,93.7982,b'10516-6104',860.45,2014.5,1506.06,280.483,2456.85
505,3.76337,11.2089,b'10516-9101',289.606,689.795,494.394,91.41,841.362
506,19.1876,33.8813,b'10516-9102',291.183,538.441,385.797,140.236,546.622
507,31.4639,49.4625,b'10517-12701',410.103,740.17,593.076,150.324,795.402
508,50.6438,66.7709,b'10517-12703',409.016,899.853,611.459,169.997,1186.56
509,8.6585,20.1092,b'10517-12704',227.573,634.363,399.651,189.845,169.621
510,0.692014,3.36486,b'10517-12705',198.54,728.555,483.123,90.5758,779.979
511,4.41273,5.84328,b'10517-1901',93.1989,235.411,170.163,33.6892,275.455
512,2.24087,4.58352,b'10517-1902',70.3597,174.006,129.431,22.0895,226.309
513,10.7762,18.8914,b'10517-3701',182.475,421.233,305.781,60.514,496.049
514,24.0771,33.7875,b'10517-3702',181.749,336.585,254.699,72.4332,387.096
515,1.3113,12.1434,b'10517-3703',675.726,1721.84,1248.23,171.78,2133.13
516,42.7278,66.2453,b'10517-3704',716.212,1847.86,1309.96,213.754,2328.66
517,0.820028,2.75637,b'10517-6101',223.676,715.879,488.945,46.0409,975.647
518,32.8983,52.2787,b'10517-6102',745.687,1974.49,1417.1,202.34,2483.81
519,0.273109,1.57179,b'10517-6103',104.187,298.745,202.97,36.9045,222.47
520,52.9913,55.6212,b'10517-6104',290.973,661.842,485.693,213.943,649.094
521,16.1601,21.9529,b'10517-9101',196.278,417.346,308.957,87.7396,569.125
522,12.8415,29.3107,b'10517-9102',623.528,1710.32,1222.71,178.403,2324.25
523,4.97386,-1.18924,b'10518-12701',281.661,881.946,606.709,73.9574,1097.24
524,72.5488,99.5156,b'10518-12702',1520.1,4252.78,2945.94,467.933,5135.25
525,21.9398,31.473,b'10518-12703',288.257,641.883,473.014,103.613,763.253
526,7.52607,13.7124,b'10518-12704',209.703,744.791,450.376,63.8079,866.935
527,173.882,267.559,b'10518-12705',2150.67,5084.11,3608.71,713.781,6270.41
528,2.91344,6.4062,b'10518-1901',696.018,2173.99,1481.5,140.063,2872.5
529,112.26,182.984,b'10518-1902',1007.5,1913.62,1506.05,435.341,2280.9
530,1.50496,5.79252,b'10518-3702',814.88,2480.6,1710.53,147.054,3186.66
531,0.816477,1.72822,b'10518-3704',136.546,447.148,304.65,25.9286,641.292
532,1.03676,-0.946053,b'10518-6101',159.382,579.241,384.893,33.4606,742.64
533,32.8201,55.0005,b'10518-6102',741.341,1966.71,1363.21,213.628,2469.84
534,9.97699,22.3901,b'10518-6103',634.934,2014.44,1284.73,121.448,2595.56
535,1.26001,3.11222,b'10518-6104',149.043,443.099,305.726,39.3551,531.506
536,7.41491,19.2625,b'10518-9101',613.231,1988.49,1290.17,162.561,2526.56
537,44.0092,47.4414,b'10518-9102',570.46,1559.48,1044.37,177.447,1728.16
538,55.8372,80.6793,b'10519-12701',475.113,1127.13,741.377,178.524,1329.77
539,19.5459,27.4751,b'10519-12702',182.234,359.967,269.13,58.5444,433.657
540,1.48291,3.6733,b'10519-12703',397.101,1546.53,999.025,239.537,2696.41
541,155.522,233.694,b'10519-12704',1901.6,4414.98,3217.04,635.111,5378.49
542,92.8617,135.108,b'10519-12705',1242.84,3065.19,2242.07,462.275,3959.49
543,1.07899,2.98883,b'10519-1901',226.839,649.052,457.651,51.659,852.295
544,1.30946,3.17488,b'10519-1902',547.522,1718.09,1183.6,104.118,2285.24
545,0.640301,1.85891,b'10519-3701',246.817,801.054,552.385,57.895,1070.6
546,0.166895,1.95315,b'10519-3702',271.107,791.444,561.463,57.6786,1016.44
547,0.599754,0.860282,b'10519-3703',147.88,560.394,372.026,25.9576,746.402
548,0.912594,2.59348,b'10519-3704',278.573,890.65,597.476,56.4245,1115.53
549,1.85945,10.5919,b'10519-6103',1412.68,4393.62,3016.22,297.055,5649.42
550,1.9482,4.84458,b'10519-6104',252.092,861.088,569.306,67.184,1175.36
551,-0.00979956,8.48237,b'10519-9101',170.754,664.093,424.652,26.3055,794.316
552,32.7592,48.9224,b'10519-9102',1008.62,2931.95,2017.69,267.237,3709.64
553,85.3088,127.787,b'10520-12701',860.666,1705.44,1336.24,315.603,2229.01
554,0.425422,1.36971,b'10520-12702',146.066,566.578,376.972,30.1617,723.762
