Plate-IFU,extinction,ha_6564,ha_6564c,l_ha,l_hac
9186-1902,999.0,0.0,999.0,999.0,999.0
9186-3701,999.0,0.0,999.0,999.0,999.0
9186-3702,999.0,0.0,999.0,999.0,999.0
9186-3703,0.28982137801922137,1.6725594482421875e-14,3.2321627986587173e-14,8.986383455405719e+40,1.73658726029562e+41
9186-3704,999.0,0.0,999.0,999.0,999.0
9186-6101,0.2923095337319118,2.402069091796875e-15,4.6682431300113514e-15,5.46991179263273e+39,1.0630367891967827e+40
9186-6102,0.2514785730995257,2.77468994140625e-14,4.914440792016889e-14,6.11023666304818e+40,1.0822252914695881e+41
9186-6103,0.39270375804471386,6.98113134765625e-14,1.7045233664550585e-13,5.164474904648741e+41,1.2609658394981963e+42
9186-6104,999.0,0.0,999.0,999.0,999.0
9186-9101,0.26886256019128985,3.867631530761719e-16,7.126334629809964e-16,1.7575559150525958e+39,3.2383983535266873e+39
9186-9102,999.0,0.0,999.0,999.0,999.0
9187-12701,999.0,0.0,999.0,999.0,999.0
9187-12702,0.12364828974274934,9.003994140625e-14,1.1926164499493151e-13,8.767816024947076e+40,1.1613336768292546e+41
9187-12703,0.3547618567542814,4.4305693359375e-14,9.923855739035168e-14,4.295593876078467e+40,9.62152958399994e+40
9187-12704,0.29854023266299295,1.8703569335937502e-14,3.6867476462604284e-14,3.7192998856970993e+40,7.331285196448386e+40
9187-12705,0.19031069160476455,7.331087646484375e-15,1.1299081116707378e-14,3.105710672989376e+40,4.78669448672586e+40
9187-1901,999.0,0.0,999.0,999.0,999.0
9187-1902,999.0,0.0,999.0,999.0,999.0
9187-3701,0.3313764519663349,1.30952392578125e-15,2.781302787340049e-15,1.591285697965323e+40,3.3797376741817734e+40
9187-3702,0.332316885581452,2.0149335937500003e-14,4.288683204918363e-14,1.4106298121801771e+41,3.0024534816529954e+41
9187-3703,999.0,0.0,999.0,999.0,999.0
9187-3704,0.2816100907920769,1.6988939208984375e-14,3.2223428311724415e-14,5.769133673225724e+40,1.094248811259699e+41
9187-6101,0.6459202060468942,2.1689768066406252e-14,9.4168864882835e-14,9.204171865425383e+40,3.996107353937438e+41
9187-6102,0.15484549663855696,2.9774111328125e-14,4.233526495879201e-14,3.598558679973949e+40,5.116724845538885e+40
9187-6104,0.5018163496425765,2.1528198242187502e-14,6.7359799274231e-14,9.204010518965884e+40,2.879852248204009e+41
9187-9101,0.2686458417925646,2.7991147460937502e-14,5.154990594008546e-14,5.046723026402619e+40,9.294299123670331e+40
9187-9102,0.1223487515491934,3.9764384765625e-14,5.2514224320086565e-14,3.799736876894076e+40,5.018064176941991e+40
9188-12701,0.15828297652476184,5.612014770507813e-15,8.042216490728549e-15,1.7804510371063672e+40,2.551449573297526e+40
9188-12702,0.18754094100616606,5.675552734375e-14,8.692577677033073e-14,1.3569541051819163e+41,2.07828726390323e+41
9188-12703,0.29319523233528016,4.8107822265625e-14,9.368240495989874e-14,1.0033789325348027e+41,1.953922398876126e+41
9188-12704,0.13998612730526042,4.5773525390625006e-14,6.292289085657864e-14,3.698135297253938e+40,5.083667069472214e+40
9188-12705,0.2039304516317672,4.6418310546875e-14,7.379203233141475e-14,1.6078649281149462e+40,2.5560521131028894e+40
9188-1901,0.509366775116586,1.5440146484375002e-13,4.914714526142188e-13,4.766239876633541e+41,1.5171299301126555e+42
9188-1902,999.0,0.0,999.0,999.0,999.0
9188-3701,0.2965551672295724,4.5657890625000005e-14,8.959321153716447e-14,1.692723107733639e+40,3.3215835727195593e+40
9188-3702,999.0,0.0,999.0,999.0,999.0
9188-3703,0.12424593918491877,9.198241577148439e-15,1.2200016066361595e-14,6.990151840404456e+39,9.271333443894959e+39
9188-3704,999.0,0.0,999.0,999.0,999.0
9188-6101,999.0,0.0,999.0,999.0,999.0
9188-6102,0.4392768207316897,7.565611572265625e-15,2.053516126398729e-14,2.190274515751921e+41,5.945010520794976e+41
9188-6103,0.530879628716375,6.9421643066406256e-15,2.3204876307561684e-14,1.5411558186662395e+40,5.1514669724281925e+40
9188-6104,999.0,0.0,999.0,999.0,999.0
9188-9101,0.390014183972166,5.896619628906251e-14,1.430952165525696e-13,6.120772813430301e+41,1.4853481593306527e+42
9188-9102,0.3823085240958409,1.6914046875000002e-13,4.033318374046886e-13,2.1299906894288713e+41,5.079169194523271e+41
9189-12701,999.0,0.0,999.0,999.0,999.0
9189-12702,999.0,0.0,999.0,999.0,999.0
9189-12704,0.4364227059183081,3.04427421875e-13,8.209567254394044e-13,8.206413679197378e+41,2.2130432469520825e+42
9189-12705,0.31347591212462755,3.204444274902344e-15,6.534556901830555e-15,1.1595941827093923e+40,2.3646640477706996e+40
9189-1901,999.0,0.0,999.0,999.0,999.0
9189-1902,999.0,0.0,999.0,999.0,999.0
9189-3701,999.0,0.0,999.0,999.0,999.0
9189-3702,0.21443077250646375,1.972256591796875e-14,3.21106779495015e-14,6.737661067564252e+40,1.09697118302613e+41
9189-3703,999.0,0.0,999.0,999.0,999.0
9189-3704,0.29798601975512623,3.5337280273437505e-14,6.956726341997845e-14,1.5300803277973035e+41,3.012215439160833e+41
9189-6101,999.0,0.0,999.0,999.0,999.0
9189-6102,0.3741288458111625,1.11813232421875e-13,2.617177628468159e-13,3.2265757006313717e+41,7.552345601091242e+41
9189-6103,999.0,0.0,999.0,999.0,999.0
9189-6104,999.0,0.0,999.0,999.0,999.0
9189-9101,0.38177202278182326,1.988361572265625e-14,4.735662047375814e-14,5.72882562817449e+40,1.3644290093811754e+41
9189-9102,0.3560613702474764,8.554880859375e-14,1.921842310354344e-13,2.8053402018625413e+41,6.302158479470997e+41
9190-12701,0.10386633847955885,3.696150634765625e-14,4.680438161959942e-14,2.7604969888321386e+40,3.495619288612877e+40
9190-12702,0.46945443499084555,9.850975341796875e-15,2.8636810800767497e-14,2.719416227270037e+40,7.905350007166304e+40
9190-12703,0.3478304669186662,6.31546240234375e-14,1.392462124246645e-13,7.21485485530206e+40,1.5907642984647921e+41
9190-12704,0.138416407897469,3.195876159667969e-15,4.377585325972055e-15,1.077286659046016e+40,1.475624847426896e+40
9190-12705,0.48269594133025284,4.5685119628906256e-15,1.3686493634287973e-14,1.5394631810798376e+40,4.611972825991775e+40
9190-1901,0.13759082795788768,2.1518083572387696e-16,2.9419362342281056e-16,1.7688120021905652e+38,2.418306492432945e+38
9190-1902,999.0,0.0,999.0,999.0,999.0
9190-3701,999.0,0.0,999.0,999.0,999.0
9190-3702,0.3904507270466938,1.5004487304687502e-14,3.644803489130339e-14,5.033654614738789e+40,1.2227463378335726e+41
9190-3703,0.33224501728854444,3.385980224609375e-14,7.205708653119377e-14,3.882327988034143e+40,8.261986934921483e+40
9190-3704,0.24022924573139962,2.084379150390625e-14,3.5985789213063184e-14,7.060300048407861e+40,1.2189263612398482e+41
9190-6101,0.08251981722838701,1.3282832031250002e-14,1.6023384135930292e-14,4.2384188018856227e+39,5.1129015583261597e+39
9190-6102,0.30175667365851155,8.483400390625e-14,1.6844733836819053e-13,2.3374691552319673e+41,4.641304660707633e+41
9190-6103,999.0,0.0,999.0,999.0,999.0
9190-6104,999.0,0.0,999.0,999.0,999.0
9190-9101,0.2472302008888078,1.5199447631835939e-15,2.666204516100816e-15,1.1361087106442747e+40,1.9929001687907763e+40
9190-9102,0.28359280396020115,9.415853881835938e-15,1.7940003624049157e-14,7.590702256679103e+39,1.4462546647691698e+40
9191-12701,0.4360444764843945,8.129090576171876e-15,2.1903073966563814e-14,5.580850210509316e+40,1.5037078725067247e+41
9191-12702,0.4338374580228526,1.1952010498046876e-14,3.204241969039088e-14,2.6592543274465654e+40,7.129256055912542e+40
